"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/AbstractCompilerRunner.java","3","74","The class 'AbstractCompilerRunner' has a total cyclomatic complexity of 117 (highest 23).","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/AbstractCompilerRunner.java","3","325","The method 'createJsModules(List<String>, List<String>)' has a cyclomatic complexity of 22.","Design","CyclomaticComplexity"
"3","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/AbstractCompilerRunner.java","3","508","The method 'doRun()' has a cyclomatic complexity of 23.","Design","CyclomaticComplexity"
"4","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/AbstractCompilerRunner.java","3","792","The method 'outputNameMaps(B)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/AliasExternals.java","3","224","The method 'aliasProperties(Node, Node)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/AliasExternals.java","3","659","The method 'visit(NodeTraversal, Node, Node)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/AliasStrings.java","3","134","The method 'visit(NodeTraversal, Node, Node)' has a cyclomatic complexity of 20.","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/AliasStrings.java","3","223","The method 'isInThrowExpression(Node)' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"3","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/AliasStrings.java","3","425","The method 'encodeStringAsIdentifier(String, String)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/AmbiguateProperties.java","3","246","The method 'computeRelatedTypes(JSType)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/AnalyzePrototypeProperties.java","3","203","The method 'visit(NodeTraversal, Node, Node)' has a cyclomatic complexity of 20.","Design","CyclomaticComplexity"
"1","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/BasicErrorManager.java","3","123","The method 'compare(Pair<JSError, CheckLevel>, Pair<JSError, CheckLevel>)' has a cyclomatic complexity of 21.","Design","CyclomaticComplexity"
"1","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/ChainCalls.java","3","107","The method 'visit(NodeTraversal, Node, Node)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"1","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/CheckAccessControls.java","3","48","The class 'CheckAccessControls' has a total cyclomatic complexity of 107 (highest 23).","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/CheckAccessControls.java","3","340","The method 'checkPropertyVisibility(NodeTraversal, Node, Node)' has a cyclomatic complexity of 23.","Design","CyclomaticComplexity"
"1","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/CheckGlobalThis.java","3","82","The method 'shouldTraverse(NodeTraversal, Node, Node)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/CheckRequiresForConstructors.java","3","84","The method 'visit(NodeTraversal, Node, Node)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"1","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/CheckSideEffects.java","3","49","The method 'visit(NodeTraversal, Node, Node)' has a cyclomatic complexity of 22.","Design","CyclomaticComplexity"
"1","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/CoalesceVariableNames.java","3","161","The method 'computeVariableNamesInterferenceGraph(NodeTraversal, ControlFlowGraph<Node>, Set<Var>)' has a cyclomatic complexity of 20.","Design","CyclomaticComplexity"
"1","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/CodeGenerator.java","3","33","The class 'CodeGenerator' has a total cyclomatic complexity of 180 (highest 103).","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/CodeGenerator.java","3","53","The method 'add(Node, Context)' has a cyclomatic complexity of 103.","Design","CyclomaticComplexity"
"3","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/CodeGenerator.java","3","590","The method 'addNonEmptyExpression(Node, Context, boolean)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"4","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/CodeGenerator.java","3","767","The method 'strEscape(String, char, String, String, String)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"1","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/CodingConventionAnnotator.java","3","53","The method 'visit(NodeTraversal, Node, Node)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"1","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/CollapseProperties.java","3","73","The class 'CollapseProperties' has a total cyclomatic complexity of 121 (highest 13).","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/CollapseProperties.java","3","162","The method 'inlineAliases(GlobalNamespace)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"3","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/CollapseProperties.java","3","246","The method 'checkNamespaces()' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"4","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/CollapseProperties.java","3","357","The method 'flattenPrefixes(String, Name, int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"5","com.google.javascript.jscomp","data/temp/Closure_106f/src/com/google/javascript/jscomp/CollapseProperties.java","3","440","The method 'collapseDeclarationOfNameAndDescendants(Name, String)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
