"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.jscomp","data/temp/Closure_112f/src/com/google/javascript/jscomp/TypeInference.java","3","67","The class 'TypeInference' has a total cyclomatic complexity of 309 (highest 65).","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp","data/temp/Closure_112f/src/com/google/javascript/jscomp/TypeInference.java","3","124","The method 'inferArguments(Scope)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"3","com.google.javascript.jscomp","data/temp/Closure_112f/src/com/google/javascript/jscomp/TypeInference.java","3","194","The method 'branchedFlowThrough(Node, FlowScope)' has a cyclomatic complexity of 21.","Design","CyclomaticComplexity"
"4","com.google.javascript.jscomp","data/temp/Closure_112f/src/com/google/javascript/jscomp/TypeInference.java","3","307","The method 'traverse(Node, FlowScope)' has a cyclomatic complexity of 65.","Design","CyclomaticComplexity"
"5","com.google.javascript.jscomp","data/temp/Closure_112f/src/com/google/javascript/jscomp/TypeInference.java","3","521","The method 'updateScopeForTypeChange(FlowScope, Node, JSType, JSType)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"6","com.google.javascript.jscomp","data/temp/Closure_112f/src/com/google/javascript/jscomp/TypeInference.java","3","569","The method 'ensurePropertyDefined(Node, JSType)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"7","com.google.javascript.jscomp","data/temp/Closure_112f/src/com/google/javascript/jscomp/TypeInference.java","3","679","The method 'traverseName(Node, FlowScope)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"8","com.google.javascript.jscomp","data/temp/Closure_112f/src/com/google/javascript/jscomp/TypeInference.java","3","741","The method 'traverseObjectLiteral(Node, FlowScope)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"9","com.google.javascript.jscomp","data/temp/Closure_112f/src/com/google/javascript/jscomp/TypeInference.java","3","794","The method 'traverseAdd(Node, FlowScope)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"10","com.google.javascript.jscomp","data/temp/Closure_112f/src/com/google/javascript/jscomp/TypeInference.java","3","1057","The method 'maybeResolveTemplatedType(JSType, JSType, Map<TemplateType, JSType>)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"11","com.google.javascript.jscomp","data/temp/Closure_112f/src/com/google/javascript/jscomp/TypeInference.java","3","1326","The method 'getPropertyType(JSType, String, Node, FlowScope)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
