"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.rhino.jstype","data/temp/Closure_169f/src/com/google/javascript/rhino/jstype/ArrowType.java","3","80","The method 'isSubtype(JSType)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.rhino.jstype","data/temp/Closure_169f/src/com/google/javascript/rhino/jstype/FunctionType.java","3","66","The class 'FunctionType' has a total cyclomatic complexity of 219 (highest 18).","Design","CyclomaticComplexity"
"2","com.google.javascript.rhino.jstype","data/temp/Closure_169f/src/com/google/javascript/rhino/jstype/FunctionType.java","3","448","The method 'setPrototypeNoCheck(ObjectType, Node)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"3","com.google.javascript.rhino.jstype","data/temp/Closure_169f/src/com/google/javascript/rhino/jstype/FunctionType.java","3","713","The method 'supAndInfHelper(FunctionType, boolean)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.rhino.jstype","data/temp/Closure_169f/src/com/google/javascript/rhino/jstype/JSType.java","3","67","The class 'JSType' has a total cyclomatic complexity of 228 (highest 26).","Design","CyclomaticComplexity"
"2","com.google.javascript.rhino.jstype","data/temp/Closure_169f/src/com/google/javascript/rhino/jstype/JSType.java","3","520","The method 'checkEquivalenceHelper(JSType, EquivalenceMethod)' has a cyclomatic complexity of 26.","Design","CyclomaticComplexity"
"3","com.google.javascript.rhino.jstype","data/temp/Closure_169f/src/com/google/javascript/rhino/jstype/JSType.java","3","797","The method 'testForEqualityHelper(JSType, JSType)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"4","com.google.javascript.rhino.jstype","data/temp/Closure_169f/src/com/google/javascript/rhino/jstype/JSType.java","3","923","The method 'getGreatestSubtype(JSType, JSType)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.rhino.jstype","data/temp/Closure_169f/src/com/google/javascript/rhino/jstype/RecordType.java","3","153","The method 'getGreatestSubtypeHelper(JSType)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.rhino.jstype","data/temp/Closure_169f/src/com/google/javascript/rhino/jstype/UnionType.java","3","70","The class 'UnionType' has a total cyclomatic complexity of 128 (highest 10).","Design","CyclomaticComplexity"
"2","com.google.javascript.rhino.jstype","data/temp/Closure_169f/src/com/google/javascript/rhino/jstype/UnionType.java","3","302","The method 'meet(JSType)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
