"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.collections","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/CollectionUtils.java","3","48","The class 'CollectionUtils' has a total cyclomatic complexity of 173 (highest 18).","Design","CyclomaticComplexity"
"2","org.apache.commons.collections","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/CollectionUtils.java","3","950","The method 'get(Object, int)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"3","org.apache.commons.collections","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/CollectionUtils.java","3","1027","The method 'size(Object)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/ExtendedProperties.java","3","135","The class 'ExtendedProperties' has a total cyclomatic complexity of 214 (highest 14).","Design","CyclomaticComplexity"
"2","org.apache.commons.collections","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/ExtendedProperties.java","3","210","The method 'interpolateHelper(String, List<String>)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"3","org.apache.commons.collections","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/ExtendedProperties.java","3","524","The method 'load(InputStream, String)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/IteratorUtils.java","3","73","The class 'IteratorUtils' has a total cyclomatic complexity of 101 (highest 15).","Design","CyclomaticComplexity"
"2","org.apache.commons.collections","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/IteratorUtils.java","3","908","The method 'getIterator(Object)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/MapUtils.java","3","76","The class 'MapUtils' has a total cyclomatic complexity of 161 (highest 13).","Design","CyclomaticComplexity"
"2","org.apache.commons.collections","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/MapUtils.java","3","954","The method 'verbosePrintInternal(PrintStream, Object, Map<?, ?>, ArrayStack<Map<?, ?>>, boolean)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"3","org.apache.commons.collections","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/MapUtils.java","3","1131","The method 'putAll(Map<K, V>, Object[])' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.bidimap","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/bidimap/TreeBidiMap.java","3","75","The class 'TreeBidiMap' has a total cyclomatic complexity of 189 (highest 15).","Design","CyclomaticComplexity"
"2","org.apache.commons.collections.bidimap","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/bidimap/TreeBidiMap.java","3","879","The method 'doRedBlackInsert(Node<K, V>, DataElement)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"3","org.apache.commons.collections.bidimap","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/bidimap/TreeBidiMap.java","3","948","The method 'doRedBlackDelete(Node<K, V>)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"4","org.apache.commons.collections.bidimap","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/bidimap/TreeBidiMap.java","3","1015","The method 'doRedBlackDeleteFixup(Node<K, V>, DataElement)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"5","org.apache.commons.collections.bidimap","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/bidimap/TreeBidiMap.java","3","1098","The method 'swapPosition(Node<K, V>, Node<K, V>, DataElement)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.buffer","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/buffer/BoundedBuffer.java","3","148","The method 'timeoutWait(int)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.buffer","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/buffer/PriorityBuffer.java","3","486","The method 'remove()' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.comparators","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/comparators/FixedOrderComparator.java","3","221","The method 'compare(T, T)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.comparators.sequence","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/comparators/sequence/SequencesComparator.java","3","128","The method 'getMiddleSnake(int, int, int, int)' has a cyclomatic complexity of 28.","Design","CyclomaticComplexity"
"2","org.apache.commons.collections.comparators.sequence","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/comparators/sequence/SequencesComparator.java","3","211","The method 'buildScript(int, int, int, int, EditScript<T>)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.functors","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/functors/InstantiateFactory.java","3","54","The method 'instantiateFactory(Class<T>, Class<?>[], Object[])' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.functors","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/functors/InstantiateTransformer.java","3","61","The method 'instantiateTransformer(Class<?>[], Object[])' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"2","org.apache.commons.collections.functors","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/functors/InstantiateTransformer.java","3","104","The method 'transform(Class<? extends T>)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.functors","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/functors/InvokerTransformer.java","3","66","The method 'invokerTransformer(String, Class<?>[], Object[])' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.list","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/list/AbstractLinkedList.java","3","44","The class 'AbstractLinkedList' has a total cyclomatic complexity of 99 (highest 11).","Design","CyclomaticComplexity"
"2","org.apache.commons.collections.list","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/list/AbstractLinkedList.java","3","507","The method 'getNode(int, boolean)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.list","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/list/TreeList.java","3","275","The class 'AVLNode' has a total cyclomatic complexity of 91 (highest 14).","Design","CyclomaticComplexity"
"2","org.apache.commons.collections.list","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/list/TreeList.java","3","541","The method 'removeSelf()' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.map","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/map/AbstractHashedMap.java","3","58","The class 'AbstractHashedMap' has a total cyclomatic complexity of 119 (highest 11).","Design","CyclomaticComplexity"
"2","org.apache.commons.collections.map","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/map/AbstractHashedMap.java","3","1304","The method 'equals(Object)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.map","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/map/Flat3Map.java","3","73","The class 'Flat3Map' has a total cyclomatic complexity of 186 (highest 29).","Design","CyclomaticComplexity"
"2","org.apache.commons.collections.map","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/map/Flat3Map.java","3","126","The method 'get(Object)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"3","org.apache.commons.collections.map","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/map/Flat3Map.java","3","185","The method 'containsKey(Object)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"4","org.apache.commons.collections.map","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/map/Flat3Map.java","3","220","The method 'containsValue(Object)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"5","org.apache.commons.collections.map","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/map/Flat3Map.java","3","254","The method 'put(K, V)' has a cyclomatic complexity of 25.","Design","CyclomaticComplexity"
"6","org.apache.commons.collections.map","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/map/Flat3Map.java","3","397","The method 'remove(Object)' has a cyclomatic complexity of 29.","Design","CyclomaticComplexity"
"7","org.apache.commons.collections.map","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/map/Flat3Map.java","3","1069","The method 'equals(Object)' has a cyclomatic complexity of 24.","Design","CyclomaticComplexity"
"8","org.apache.commons.collections.map","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/map/Flat3Map.java","3","1143","The method 'toString()' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.map","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/map/LRUMap.java","3","245","The method 'addMapping(int, int, K, V)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.map","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/map/MultiKeyMap.java","3","75","The class 'MultiKeyMap' has a total cyclomatic complexity of 134 (highest 11).","Design","CyclomaticComplexity"
"2","org.apache.commons.collections.map","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/map/MultiKeyMap.java","3","775","The method 'removeAll(Object, Object, Object, Object)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.set","data/temp/Collections_17f/src/main/java/org/apache/commons/collections/set/CompositeSet.java","3","78","The method 'addComposited(Collection<E>)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
