"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.collections4.trie","data/temp/Collections_28f/src/main/java/org/apache/commons/collections4/trie/AbstractPatriciaTrie.java","3","44","The class 'AbstractPatriciaTrie' has a total cyclomatic complexity of 215 (highest 17).","Design","CyclomaticComplexity"
"2","org.apache.commons.collections4.trie","data/temp/Collections_28f/src/main/java/org/apache/commons/collections4/trie/AbstractPatriciaTrie.java","3","129","The method 'put(K, V)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"3","org.apache.commons.collections4.trie","data/temp/Collections_28f/src/main/java/org/apache/commons/collections4/trie/AbstractPatriciaTrie.java","3","194","The method 'addEntry(TrieEntry<K, V>, int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"4","org.apache.commons.collections4.trie","data/temp/Collections_28f/src/main/java/org/apache/commons/collections4/trie/AbstractPatriciaTrie.java","3","530","The method 'removeInternalEntry(TrieEntry<K, V>)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"5","org.apache.commons.collections4.trie","data/temp/Collections_28f/src/main/java/org/apache/commons/collections4/trie/AbstractPatriciaTrie.java","3","649","The method 'nextEntryImpl(TrieEntry<K, V>, TrieEntry<K, V>, TrieEntry<K, V>)' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"6","org.apache.commons.collections4.trie","data/temp/Collections_28f/src/main/java/org/apache/commons/collections4/trie/AbstractPatriciaTrie.java","3","887","The method 'higherEntry(K)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"7","org.apache.commons.collections4.trie","data/temp/Collections_28f/src/main/java/org/apache/commons/collections4/trie/AbstractPatriciaTrie.java","3","1097","The method 'subtree(K, int, int)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"8","org.apache.commons.collections4.trie","data/temp/Collections_28f/src/main/java/org/apache/commons/collections4/trie/AbstractPatriciaTrie.java","3","1195","The method 'previousEntry(TrieEntry<K, V>)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"9","org.apache.commons.collections4.trie","data/temp/Collections_28f/src/main/java/org/apache/commons/collections4/trie/AbstractPatriciaTrie.java","3","1327","The method 'toString()' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"10","org.apache.commons.collections4.trie","data/temp/Collections_28f/src/main/java/org/apache/commons/collections4/trie/AbstractPatriciaTrie.java","3","2123","The method 'fixup()' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
