"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.lang3","data/temp/Lang_14f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","111","The class 'StringUtils' has a total cyclomatic complexity of 744 (highest 36).","Design","CyclomaticComplexity"
"2","org.apache.commons.lang3","data/temp/Lang_14f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","628","The method 'stripAccents(String)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"3","org.apache.commons.lang3","data/temp/Lang_14f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","1008","The method 'ordinalIndexOf(CharSequence, CharSequence, int, boolean)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"4","org.apache.commons.lang3","data/temp/Lang_14f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","1506","The method 'indexOfAny(CharSequence, char[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"5","org.apache.commons.lang3","data/temp/Lang_14f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","1588","The method 'containsAny(CharSequence, char[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"6","org.apache.commons.lang3","data/temp/Lang_14f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","1679","The method 'indexOfAnyBut(CharSequence, char[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"7","org.apache.commons.lang3","data/temp/Lang_14f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","1844","The method 'containsNone(CharSequence, char[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"8","org.apache.commons.lang3","data/temp/Lang_14f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","2773","The method 'splitByWholeSeparatorWorker(String, String, int, boolean)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"9","org.apache.commons.lang3","data/temp/Lang_14f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","2916","The method 'splitWorker(String, char, boolean)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"10","org.apache.commons.lang3","data/temp/Lang_14f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","3041","The method 'splitWorker(String, String, int, boolean)' has a cyclomatic complexity of 23.","Design","CyclomaticComplexity"
"11","org.apache.commons.lang3","data/temp/Lang_14f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","3868","The method 'replace(String, String, String, int)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"12","org.apache.commons.lang3","data/temp/Lang_14f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","4036","The method 'replaceEach(String, String[], String[], boolean, int)' has a cyclomatic complexity of 36.","Design","CyclomaticComplexity"
"13","org.apache.commons.lang3","data/temp/Lang_14f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","4471","The method 'repeat(String, int)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"14","org.apache.commons.lang3","data/temp/Lang_14f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","5725","The method 'abbreviate(String, int, int)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"15","org.apache.commons.lang3","data/temp/Lang_14f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","5921","The method 'indexOfDifference(CharSequence[])' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"16","org.apache.commons.lang3","data/temp/Lang_14f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","6070","The method 'getLevenshteinDistance(CharSequence, CharSequence)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"17","org.apache.commons.lang3","data/temp/Lang_14f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","6179","The method 'getLevenshteinDistance(CharSequence, CharSequence, int)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
