"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.lang","data/temp/Lang_49f/src/java/org/apache/commons/lang/ArrayUtils.java","3","50","The class 'ArrayUtils' has a total cyclomatic complexity of 571 (highest 10).","Design","CyclomaticComplexity"
"2","org.apache.commons.lang","data/temp/Lang_49f/src/java/org/apache/commons/lang/ArrayUtils.java","3","786","The method 'isSameLength(Object[], Object[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"3","org.apache.commons.lang","data/temp/Lang_49f/src/java/org/apache/commons/lang/ArrayUtils.java","3","804","The method 'isSameLength(long[], long[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"4","org.apache.commons.lang","data/temp/Lang_49f/src/java/org/apache/commons/lang/ArrayUtils.java","3","822","The method 'isSameLength(int[], int[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"5","org.apache.commons.lang","data/temp/Lang_49f/src/java/org/apache/commons/lang/ArrayUtils.java","3","840","The method 'isSameLength(short[], short[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"6","org.apache.commons.lang","data/temp/Lang_49f/src/java/org/apache/commons/lang/ArrayUtils.java","3","858","The method 'isSameLength(char[], char[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"7","org.apache.commons.lang","data/temp/Lang_49f/src/java/org/apache/commons/lang/ArrayUtils.java","3","876","The method 'isSameLength(byte[], byte[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"8","org.apache.commons.lang","data/temp/Lang_49f/src/java/org/apache/commons/lang/ArrayUtils.java","3","894","The method 'isSameLength(double[], double[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"9","org.apache.commons.lang","data/temp/Lang_49f/src/java/org/apache/commons/lang/ArrayUtils.java","3","912","The method 'isSameLength(float[], float[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"10","org.apache.commons.lang","data/temp/Lang_49f/src/java/org/apache/commons/lang/ArrayUtils.java","3","930","The method 'isSameLength(boolean[], boolean[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.lang","data/temp/Lang_49f/src/java/org/apache/commons/lang/BooleanUtils.java","3","34","The class 'BooleanUtils' has a total cyclomatic complexity of 129 (highest 10).","Design","CyclomaticComplexity"
"2","org.apache.commons.lang","data/temp/Lang_49f/src/java/org/apache/commons/lang/BooleanUtils.java","3","649","The method 'toBoolean(String)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.lang","data/temp/Lang_49f/src/java/org/apache/commons/lang/CharSet.java","3","196","The method 'add(String)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.lang","data/temp/Lang_49f/src/java/org/apache/commons/lang/ClassUtils.java","3","41","The class 'ClassUtils' has a total cyclomatic complexity of 92 (highest 14).","Design","CyclomaticComplexity"
"2","org.apache.commons.lang","data/temp/Lang_49f/src/java/org/apache/commons/lang/ClassUtils.java","3","418","The method 'isAssignable(Class, Class)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
