"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.math.dfp","data/temp/Math_54f/src/main/java/org/apache/commons/math/dfp/Dfp.java","3","96","The class 'Dfp' has a total cyclomatic complexity of 401 (highest 39).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.dfp","data/temp/Math_54f/src/main/java/org/apache/commons/math/dfp/Dfp.java","3","334","The constructor 'Dfp(DfpField, String)' has a cyclomatic complexity of 39.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.dfp","data/temp/Math_54f/src/main/java/org/apache/commons/math/dfp/Dfp.java","3","861","The method 'compare(Dfp, Dfp)' has a cyclomatic complexity of 20.","Design","CyclomaticComplexity"
"4","org.apache.commons.math.dfp","data/temp/Math_54f/src/main/java/org/apache/commons/math/dfp/Dfp.java","3","961","The method 'trunc(RoundingMode)' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"5","org.apache.commons.math.dfp","data/temp/Math_54f/src/main/java/org/apache/commons/math/dfp/Dfp.java","3","1168","The method 'add(Dfp)' has a cyclomatic complexity of 32.","Design","CyclomaticComplexity"
"6","org.apache.commons.math.dfp","data/temp/Math_54f/src/main/java/org/apache/commons/math/dfp/Dfp.java","3","1334","The method 'round(int)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"7","org.apache.commons.math.dfp","data/temp/Math_54f/src/main/java/org/apache/commons/math/dfp/Dfp.java","3","1413","The method 'multiply(Dfp)' has a cyclomatic complexity of 29.","Design","CyclomaticComplexity"
"8","org.apache.commons.math.dfp","data/temp/Math_54f/src/main/java/org/apache/commons/math/dfp/Dfp.java","3","1520","The method 'multiply(int)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"9","org.apache.commons.math.dfp","data/temp/Math_54f/src/main/java/org/apache/commons/math/dfp/Dfp.java","3","1582","The method 'divide(Dfp)' has a cyclomatic complexity of 39.","Design","CyclomaticComplexity"
"10","org.apache.commons.math.dfp","data/temp/Math_54f/src/main/java/org/apache/commons/math/dfp/Dfp.java","3","1797","The method 'divide(int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"11","org.apache.commons.math.dfp","data/temp/Math_54f/src/main/java/org/apache/commons/math/dfp/Dfp.java","3","1860","The method 'sqrt()' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"12","org.apache.commons.math.dfp","data/temp/Math_54f/src/main/java/org/apache/commons/math/dfp/Dfp.java","3","1978","The method 'dfp2sci()' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"13","org.apache.commons.math.dfp","data/temp/Math_54f/src/main/java/org/apache/commons/math/dfp/Dfp.java","3","2059","The method 'dfp2string()' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"14","org.apache.commons.math.dfp","data/temp/Math_54f/src/main/java/org/apache/commons/math/dfp/Dfp.java","3","2136","The method 'dotrap(int, String, Dfp, Dfp)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"15","org.apache.commons.math.dfp","data/temp/Math_54f/src/main/java/org/apache/commons/math/dfp/Dfp.java","3","2234","The method 'nextAfter(Dfp)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"16","org.apache.commons.math.dfp","data/temp/Math_54f/src/main/java/org/apache/commons/math/dfp/Dfp.java","3","2306","The method 'toDouble()' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
