"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.math.analysis.interpolation","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/interpolation/BicubicSplineInterpolatingFunction.java","3","92","The constructor 'BicubicSplineInterpolatingFunction(double[], double[], double[][], double[][], double[][], double[][])' has a cyclomatic complexity of 24.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.interpolation","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/interpolation/BicubicSplineInterpolator.java","3","37","The method 'interpolate(double[], double[], double[][])' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.interpolation","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/interpolation/LoessInterpolator.java","3","198","The method 'smooth(double[], double[], double[])' has a cyclomatic complexity of 20.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.interpolation","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/interpolation/MicrosphereInterpolatingFunction.java","3","146","The constructor 'MicrosphereInterpolatingFunction(double[][], double[], int, int, UnitSphereRandomVectorGenerator)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.interpolation","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/interpolation/SmoothingBicubicSplineInterpolator.java","3","48","The method 'interpolate(double[], double[], double[][])' has a cyclomatic complexity of 23.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.interpolation","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/interpolation/SmoothingPolynomialBicubicSplineInterpolator.java","3","73","The method 'interpolate(double[], double[], double[][])' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.interpolation","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/interpolation/TricubicSplineInterpolatingFunction.java","3","145","The constructor 'TricubicSplineInterpolatingFunction(double[], double[], double[], double[][][], double[][][], double[][][], double[][][], double[][][], double[][][], double[][][], double[][][])' has a cyclomatic complexity of 58.","Design","CyclomaticComplexity"
"2","org.apache.commons.math.analysis.interpolation","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/interpolation/TricubicSplineInterpolatingFunction.java","3","449","The method 'value(double, double, double)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.interpolation","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/interpolation/TricubicSplineInterpolator.java","3","35","The method 'interpolate(double[], double[], double[], double[][][])' has a cyclomatic complexity of 30.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.polynomials","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/polynomials/PolynomialFunction.java","3","281","The method 'toString()' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.polynomials","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/polynomials/PolynomialFunctionLagrangeForm.java","3","227","The method 'computeCoefficients()' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.solvers","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java","3","126","The method 'solve(UnivariateRealFunction, double, double, double)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"2","org.apache.commons.math.analysis.solvers","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java","3","250","The method 'solve(UnivariateRealFunction, double, double, double, double, double, double)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.solvers","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java","3","162","The method 'solve(UnivariateRealFunction, double, double)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"2","org.apache.commons.math.analysis.solvers","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java","3","303","The method 'solve(Complex[], Complex)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.solvers","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/solvers/MullerSolver.java","3","134","The method 'solve(UnivariateRealFunction, double, double)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"2","org.apache.commons.math.analysis.solvers","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/solvers/MullerSolver.java","3","278","The method 'solve2(UnivariateRealFunction, double, double)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.solvers","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/solvers/RiddersSolver.java","3","121","The method 'solve(UnivariateRealFunction, double, double)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.solvers","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/solvers/SecantSolver.java","3","111","The method 'solve(UnivariateRealFunction, double, double)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.solvers","data/temp/Math_64b/src/main/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java","3","168","The method 'bracket(UnivariateRealFunction, double, double, double, int)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.complex","data/temp/Math_64b/src/main/java/org/apache/commons/math/complex/Complex.java","3","47","The class 'Complex' has a total cyclomatic complexity of 87 (highest 8).","Design","CyclomaticComplexity"
"1","org.apache.commons.math.estimation","data/temp/Math_64b/src/main/java/org/apache/commons/math/estimation/GaussNewtonEstimator.java","3","160","The method 'estimate(EstimationProblem)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.estimation","data/temp/Math_64b/src/main/java/org/apache/commons/math/estimation/LevenbergMarquardtEstimator.java","3","106","The class 'LevenbergMarquardtEstimator' has a total cyclomatic complexity of 113 (highest 43).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.estimation","data/temp/Math_64b/src/main/java/org/apache/commons/math/estimation/LevenbergMarquardtEstimator.java","3","247","The method 'estimate(EstimationProblem)' has a cyclomatic complexity of 43.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.estimation","data/temp/Math_64b/src/main/java/org/apache/commons/math/estimation/LevenbergMarquardtEstimator.java","3","496","The method 'determineLMParameter(double[], double, double[], double[], double[], double[])' has a cyclomatic complexity of 29.","Design","CyclomaticComplexity"
"4","org.apache.commons.math.estimation","data/temp/Math_64b/src/main/java/org/apache/commons/math/estimation/LevenbergMarquardtEstimator.java","3","671","The method 'determineLMDirection(double[], double[], double[], double[])' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"5","org.apache.commons.math.estimation","data/temp/Math_64b/src/main/java/org/apache/commons/math/estimation/LevenbergMarquardtEstimator.java","3","798","The method 'qrDecomposition()' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.fraction","data/temp/Math_64b/src/main/java/org/apache/commons/math/fraction/BigFraction.java","3","36","The class 'BigFraction' has a total cyclomatic complexity of 116 (highest 14).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.fraction","data/temp/Math_64b/src/main/java/org/apache/commons/math/fraction/BigFraction.java","3","115","The constructor 'BigFraction(BigInteger, BigInteger)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.fraction","data/temp/Math_64b/src/main/java/org/apache/commons/math/fraction/BigFraction.java","3","171","The constructor 'BigFraction(double)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"4","org.apache.commons.math.fraction","data/temp/Math_64b/src/main/java/org/apache/commons/math/fraction/BigFraction.java","3","268","The constructor 'BigFraction(double, double, int, int)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.fraction","data/temp/Math_64b/src/main/java/org/apache/commons/math/fraction/Fraction.java","3","36","The class 'Fraction' has a total cyclomatic complexity of 88 (highest 14).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.fraction","data/temp/Math_64b/src/main/java/org/apache/commons/math/fraction/Fraction.java","3","174","The constructor 'Fraction(double, double, int, int)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.fraction","data/temp/Math_64b/src/main/java/org/apache/commons/math/fraction/Fraction.java","3","475","The method 'addSub(Fraction, boolean)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"4","org.apache.commons.math.fraction","data/temp/Math_64b/src/main/java/org/apache/commons/math/fraction/Fraction.java","3","599","The method 'getReducedFraction(int, int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.fraction","data/temp/Math_64b/src/main/java/org/apache/commons/math/fraction/ProperBigFractionFormat.java","3","135","The method 'parse(String, ParsePosition)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.geometry","data/temp/Math_64b/src/main/java/org/apache/commons/math/geometry/Rotation.java","3","94","The class 'Rotation' has a total cyclomatic complexity of 100 (highest 48).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.geometry","data/temp/Math_64b/src/main/java/org/apache/commons/math/geometry/Rotation.java","3","219","The constructor 'Rotation(double[][], double)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
