"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/experimental/org/apache/commons/math/linear/RecursiveLayoutRealMatrix.java","3","73","The class 'RecursiveLayoutRealMatrix' has a total cyclomatic complexity of 263 (highest 9).","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/experimental/org/apache/commons/math/linear/RecursiveLayoutRealMatrixTest.java","3","32","The class 'RecursiveLayoutRealMatrixTest' has a total cyclomatic complexity of 184 (highest 23).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_81f/src/experimental/org/apache/commons/math/linear/RecursiveLayoutRealMatrixTest.java","3","206","The method 'testSeveralBlocks()' has a cyclomatic complexity of 23.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.util","data/temp/Math_81f/src/experimental/org/apache/commons/math/util/BeanTransformer.java","3","73","The method 'transform(Object)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.interpolation","data/temp/Math_81f/src/main/java/org/apache/commons/math/analysis/interpolation/LoessInterpolator.java","3","195","The method 'smooth(double[], double[], double[])' has a cyclomatic complexity of 20.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.interpolation","data/temp/Math_81f/src/main/java/org/apache/commons/math/analysis/interpolation/MicrosphereInterpolatingFunction.java","3","146","The constructor 'MicrosphereInterpolatingFunction(double[][], double[], int, int, UnitSphereRandomVectorGenerator)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.interpolation","data/temp/Math_81f/src/main/java/org/apache/commons/math/analysis/interpolation/SplineInterpolator.java","3","58","The method 'interpolate(double[], double[])' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.polynomials","data/temp/Math_81f/src/main/java/org/apache/commons/math/analysis/polynomials/PolynomialFunction.java","3","280","The method 'toString()' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.polynomials","data/temp/Math_81f/src/main/java/org/apache/commons/math/analysis/polynomials/PolynomialFunctionLagrangeForm.java","3","223","The method 'computeCoefficients()' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.solvers","data/temp/Math_81f/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java","3","215","The method 'solve(UnivariateRealFunction, double, double, double, double, double, double)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.solvers","data/temp/Math_81f/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java","3","159","The method 'solve(UnivariateRealFunction, double, double)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"2","org.apache.commons.math.analysis.solvers","data/temp/Math_81f/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java","3","300","The method 'solve(Complex[], Complex)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.solvers","data/temp/Math_81f/src/main/java/org/apache/commons/math/analysis/solvers/MullerSolver.java","3","134","The method 'solve(UnivariateRealFunction, double, double)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"2","org.apache.commons.math.analysis.solvers","data/temp/Math_81f/src/main/java/org/apache/commons/math/analysis/solvers/MullerSolver.java","3","278","The method 'solve2(UnivariateRealFunction, double, double)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.solvers","data/temp/Math_81f/src/main/java/org/apache/commons/math/analysis/solvers/RiddersSolver.java","3","121","The method 'solve(UnivariateRealFunction, double, double)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.solvers","data/temp/Math_81f/src/main/java/org/apache/commons/math/analysis/solvers/SecantSolver.java","3","110","The method 'solve(UnivariateRealFunction, double, double)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis.solvers","data/temp/Math_81f/src/main/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java","3","165","The method 'bracket(UnivariateRealFunction, double, double, double, int)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.complex","data/temp/Math_81f/src/main/java/org/apache/commons/math/complex/Complex.java","3","46","The class 'Complex' has a total cyclomatic complexity of 88 (highest 8).","Design","CyclomaticComplexity"
"1","org.apache.commons.math.estimation","data/temp/Math_81f/src/main/java/org/apache/commons/math/estimation/GaussNewtonEstimator.java","3","159","The method 'estimate(EstimationProblem)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.estimation","data/temp/Math_81f/src/main/java/org/apache/commons/math/estimation/LevenbergMarquardtEstimator.java","3","104","The class 'LevenbergMarquardtEstimator' has a total cyclomatic complexity of 113 (highest 43).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.estimation","data/temp/Math_81f/src/main/java/org/apache/commons/math/estimation/LevenbergMarquardtEstimator.java","3","245","The method 'estimate(EstimationProblem)' has a cyclomatic complexity of 43.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.estimation","data/temp/Math_81f/src/main/java/org/apache/commons/math/estimation/LevenbergMarquardtEstimator.java","3","494","The method 'determineLMParameter(double[], double, double[], double[], double[], double[])' has a cyclomatic complexity of 29.","Design","CyclomaticComplexity"
"4","org.apache.commons.math.estimation","data/temp/Math_81f/src/main/java/org/apache/commons/math/estimation/LevenbergMarquardtEstimator.java","3","669","The method 'determineLMDirection(double[], double[], double[], double[])' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"5","org.apache.commons.math.estimation","data/temp/Math_81f/src/main/java/org/apache/commons/math/estimation/LevenbergMarquardtEstimator.java","3","796","The method 'qrDecomposition()' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.fraction","data/temp/Math_81f/src/main/java/org/apache/commons/math/fraction/BigFraction.java","3","34","The class 'BigFraction' has a total cyclomatic complexity of 104 (highest 14).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.fraction","data/temp/Math_81f/src/main/java/org/apache/commons/math/fraction/BigFraction.java","3","120","The constructor 'BigFraction(BigInteger, BigInteger)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.fraction","data/temp/Math_81f/src/main/java/org/apache/commons/math/fraction/BigFraction.java","3","176","The constructor 'BigFraction(double)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"4","org.apache.commons.math.fraction","data/temp/Math_81f/src/main/java/org/apache/commons/math/fraction/BigFraction.java","3","273","The constructor 'BigFraction(double, double, int, int)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.fraction","data/temp/Math_81f/src/main/java/org/apache/commons/math/fraction/Fraction.java","3","34","The class 'Fraction' has a total cyclomatic complexity of 89 (highest 14).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.fraction","data/temp/Math_81f/src/main/java/org/apache/commons/math/fraction/Fraction.java","3","172","The constructor 'Fraction(double, double, int, int)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.fraction","data/temp/Math_81f/src/main/java/org/apache/commons/math/fraction/Fraction.java","3","482","The method 'addSub(Fraction, boolean)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"4","org.apache.commons.math.fraction","data/temp/Math_81f/src/main/java/org/apache/commons/math/fraction/Fraction.java","3","606","The method 'getReducedFraction(int, int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.fraction","data/temp/Math_81f/src/main/java/org/apache/commons/math/fraction/ProperBigFractionFormat.java","3","134","The method 'parse(String, ParsePosition)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.geometry","data/temp/Math_81f/src/main/java/org/apache/commons/math/geometry/Rotation.java","3","91","The class 'Rotation' has a total cyclomatic complexity of 100 (highest 48).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.geometry","data/temp/Math_81f/src/main/java/org/apache/commons/math/geometry/Rotation.java","3","202","The constructor 'Rotation(double[][], double)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.geometry","data/temp/Math_81f/src/main/java/org/apache/commons/math/geometry/Rotation.java","3","591","The method 'getAngles(RotationOrder)' has a cyclomatic complexity of 48.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/AbstractFieldMatrix.java","3","36","The class 'AbstractFieldMatrix' has a total cyclomatic complexity of 211 (highest 10).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/AbstractFieldMatrix.java","3","399","The method 'setSubMatrix(T[][], int, int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/AbstractRealMatrix.java","3","31","The class 'AbstractRealMatrix' has a total cyclomatic complexity of 179 (highest 10).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/AbstractRealMatrix.java","3","372","The method 'setSubMatrix(double[][], int, int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/Array2DRowFieldMatrix.java","3","37","The class 'Array2DRowFieldMatrix' has a total cyclomatic complexity of 103 (highest 13).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/Array2DRowFieldMatrix.java","3","103","The constructor 'Array2DRowFieldMatrix(T[][], boolean)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/Array2DRowFieldMatrix.java","3","304","The method 'setSubMatrix(T[][], int, int)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/Array2DRowRealMatrix.java","3","52","The class 'Array2DRowRealMatrix' has a total cyclomatic complexity of 103 (highest 13).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/Array2DRowRealMatrix.java","3","113","The constructor 'Array2DRowRealMatrix(double[][], boolean)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/Array2DRowRealMatrix.java","3","312","The method 'setSubMatrix(double[][], int, int)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/ArrayFieldVector.java","3","33","The class 'ArrayFieldVector' has a total cyclomatic complexity of 127 (highest 7).","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java","3","30","The class 'ArrayRealVector' has a total cyclomatic complexity of 261 (highest 8).","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/BiDiagonalTransformer.java","3","86","The method 'getU()' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/BiDiagonalTransformer.java","3","167","The method 'getV()' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/BiDiagonalTransformer.java","3","255","The method 'transformToUpperBiDiagonal()' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"4","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/BiDiagonalTransformer.java","3","319","The method 'transformToLowerBiDiagonal()' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/BigMatrixImpl.java","3","55","The class 'BigMatrixImpl' has a total cyclomatic complexity of 221 (highest 16).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/BigMatrixImpl.java","3","150","The constructor 'BigMatrixImpl(BigDecimal[][], boolean)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/BigMatrixImpl.java","3","641","The method 'getSubMatrix(int[], int[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"4","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/BigMatrixImpl.java","3","701","The method 'setSubMatrix(BigDecimal[][], int, int)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"5","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/BigMatrixImpl.java","3","1144","The method 'solve(BigMatrix)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"6","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/BigMatrixImpl.java","3","1219","The method 'luDecompose()' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/BlockFieldMatrix.java","3","66","The class 'BlockFieldMatrix' has a total cyclomatic complexity of 209 (highest 9).","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/BlockRealMatrix.java","3","64","The class 'BlockRealMatrix' has a total cyclomatic complexity of 218 (highest 9).","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/CholeskyDecompositionImpl.java","3","93","The constructor 'CholeskyDecompositionImpl(RealMatrix, double, double)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/CholeskyDecompositionImpl.java","3","297","The method 'solve(RealMatrix)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java","3","61","The class 'EigenDecompositionImpl' has a total cyclomatic complexity of 227 (highest 56).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java","3","612","The method 'findEigenvalues()' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java","3","823","The method 'processGeneralBlock(int)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"4","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java","3","991","The method 'goodStep(int, int)' has a cyclomatic complexity of 29.","Design","CyclomaticComplexity"
"5","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java","3","1155","The method 'eigenvaluesRange(int, int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"6","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java","3","1329","The method 'dqd(int, int)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"7","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java","3","1431","The method 'computeShiftIncrement(int, int, int)' has a cyclomatic complexity of 56.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/FieldLUDecompositionImpl.java","3","71","The constructor 'FieldLUDecompositionImpl(FieldMatrix<T>)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/FieldLUDecompositionImpl.java","3","261","The method 'solve(T[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/FieldLUDecompositionImpl.java","3","304","The method 'solve(FieldVector<T>)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"4","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/FieldLUDecompositionImpl.java","3","363","The method 'solve(FieldMatrix<T>)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/LUDecompositionImpl.java","3","77","The constructor 'LUDecompositionImpl(RealMatrix, double)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/LUDecompositionImpl.java","3","259","The method 'solve(double[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/LUDecompositionImpl.java","3","301","The method 'solve(RealVector)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"4","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/LUDecompositionImpl.java","3","359","The method 'solve(RealMatrix)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/MatrixUtils.java","3","38","The class 'MatrixUtils' has a total cyclomatic complexity of 99 (highest 7).","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/OpenMapRealVector.java","3","30","The class 'OpenMapRealVector' has a total cyclomatic complexity of 235 (highest 10).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/OpenMapRealVector.java","3","1265","The method 'equals(Object)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/QRDecompositionImpl.java","3","286","The method 'solve(double[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/QRDecompositionImpl.java","3","357","The method 'solve(RealMatrix)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/RealMatrixImpl.java","3","54","The class 'RealMatrixImpl' has a total cyclomatic complexity of 103 (highest 13).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/RealMatrixImpl.java","3","115","The constructor 'RealMatrixImpl(double[][], boolean)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/RealMatrixImpl.java","3","314","The method 'setSubMatrix(double[][], int, int)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/SparseFieldVector.java","3","33","The class 'SparseFieldVector' has a total cyclomatic complexity of 107 (highest 12).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/SparseFieldVector.java","3","613","The method 'equals(Object)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_81f/src/main/java/org/apache/commons/math/linear/TriDiagonalTransformer.java","3","202","The method 'transform()' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.ode","data/temp/Math_81f/src/main/java/org/apache/commons/math/ode/ContinuousOutputModel.java","3","123","The method 'append(ContinuousOutputModel)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
