"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.mockito.release.comparison","data/temp/Mockito_19b/buildSrc/src/main/groovy/org/mockito/release/comparison/ZipCompare.java","3","26","The method 'compareZips(String, String)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"2","org.mockito.release.comparison","data/temp/Mockito_19b/buildSrc/src/main/groovy/org/mockito/release/comparison/ZipCompare.java","3","86","The method 'streamsEqual(InputStream, InputStream)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/AnnotationWriter.java","3","118","The method 'visit(String, Object)' has a cyclomatic complexity of 26.","Design","CyclomaticComplexity"
"1","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/ByteVector.java","3","200","The method 'putUTF8(String)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/ClassReader.java","3","44","The class 'ClassReader' has a total cyclomatic complexity of 353 (highest 224).","Design","CyclomaticComplexity"
"2","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/ClassReader.java","3","163","The constructor 'ClassReader(byte[], int, int)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"3","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/ClassReader.java","3","276","The method 'copyPool(ClassWriter)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"4","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/ClassReader.java","3","441","The method 'accept(ClassVisitor, Attribute[], int)' has a cyclomatic complexity of 224.","Design","CyclomaticComplexity"
"5","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/ClassReader.java","3","1552","The method 'readAnnotationValue(int, char[], String, AnnotationVisitor)' has a cyclomatic complexity of 36.","Design","CyclomaticComplexity"
"6","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/ClassReader.java","3","1924","The method 'readUTF(int, int, char[])' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/ClassWriter.java","3","41","The class 'ClassWriter' has a total cyclomatic complexity of 126 (highest 35).","Design","CyclomaticComplexity"
"2","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/ClassWriter.java","3","706","The method 'toByteArray()' has a cyclomatic complexity of 35.","Design","CyclomaticComplexity"
"3","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/ClassWriter.java","3","860","The method 'newConstItem(Object)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/FieldWriter.java","3","175","The method 'getSize()' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"2","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/FieldWriter.java","3","214","The method 'put(ByteVector)' has a cyclomatic complexity of 23.","Design","CyclomaticComplexity"
"1","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/Frame.java","3","37","The class 'Frame' has a total cyclomatic complexity of 276 (highest 180).","Design","CyclomaticComplexity"
"2","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/Frame.java","3","607","The method 'type(ClassWriter, String)' has a cyclomatic complexity of 21.","Design","CyclomaticComplexity"
"3","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/Frame.java","3","822","The method 'execute(int, int, ClassWriter, Item)' has a cyclomatic complexity of 180.","Design","CyclomaticComplexity"
"4","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/Frame.java","3","1247","The method 'merge(ClassWriter, Frame, int)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"5","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/Frame.java","3","1340","The method 'merge(ClassWriter, int, int[], int)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"1","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/Item.java","3","225","The method 'isEqualTo(Item)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/MethodWriter.java","3","40","The class 'MethodWriter' has a total cyclomatic complexity of 468 (highest 77).","Design","CyclomaticComplexity"
"2","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/MethodWriter.java","3","411","The constructor 'MethodWriter(ClassWriter, int, String, String, String, String[], boolean, boolean)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"3","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/MethodWriter.java","3","540","The method 'visitFrame(int, int, Object[], int, Object[])' has a cyclomatic complexity of 21.","Design","CyclomaticComplexity"
"4","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/MethodWriter.java","3","682","The method 'visitVarInsn(int, int)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"5","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/MethodWriter.java","3","760","The method 'visitFieldInsn(int, String, String, String)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"6","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/MethodWriter.java","3","856","The method 'visitJumpInsn(int, Label)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"7","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/MethodWriter.java","3","947","The method 'visitLabel(Label)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"8","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/MethodWriter.java","3","1205","The method 'visitMaxs(int, int)' has a cyclomatic complexity of 35.","Design","CyclomaticComplexity"
"9","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/MethodWriter.java","3","1450","The method 'getArgumentsAndReturnSizes(String)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"10","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/MethodWriter.java","3","1521","The method 'visitFrame(Frame)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"11","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/MethodWriter.java","3","1610","The method 'writeFrame()' has a cyclomatic complexity of 24.","Design","CyclomaticComplexity"
"12","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/MethodWriter.java","3","1706","The method 'writeFrameTypes(int, int)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"13","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/MethodWriter.java","3","1784","The method 'getSize()' has a cyclomatic complexity of 33.","Design","CyclomaticComplexity"
"14","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/MethodWriter.java","3","1882","The method 'put(ByteVector)' has a cyclomatic complexity of 57.","Design","CyclomaticComplexity"
"15","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/MethodWriter.java","3","2068","The method 'resizeInstructions()' has a cyclomatic complexity of 77.","Design","CyclomaticComplexity"
"1","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/Type.java","3","42","The class 'Type' has a total cyclomatic complexity of 130 (highest 20).","Design","CyclomaticComplexity"
"2","org.mockito.asm","data/temp/Mockito_19b/cglib-and-asm/src/org/mockito/asm/Type.java","3","227","The method 'getType(Class)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
