"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.joda.time.format","data/temp/Time_20f/src/main/java/org/joda/time/format/DateTimeFormatterBuilder.java","3","71","The class 'DateTimeFormatterBuilder' has a total cyclomatic complexity of 147 (highest 10).","Design","CyclomaticComplexity"
"2","org.joda.time.format","data/temp/Time_20f/src/main/java/org/joda/time/format/DateTimeFormatterBuilder.java","3","272","The method 'append(DateTimePrinter, DateTimeParser[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"3","org.joda.time.format","data/temp/Time_20f/src/main/java/org/joda/time/format/DateTimeFormatterBuilder.java","3","1291","The method 'parseInto(DateTimeParserBucket, String, int)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"4","org.joda.time.format","data/temp/Time_20f/src/main/java/org/joda/time/format/DateTimeFormatterBuilder.java","3","1533","The method 'parseInto(DateTimeParserBucket, String, int)' has a cyclomatic complexity of 25.","Design","CyclomaticComplexity"
"5","org.joda.time.format","data/temp/Time_20f/src/main/java/org/joda/time/format/DateTimeFormatterBuilder.java","3","1905","The method 'printTo(StringBuffer, Writer, long, Chronology)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"6","org.joda.time.format","data/temp/Time_20f/src/main/java/org/joda/time/format/DateTimeFormatterBuilder.java","3","1989","The method 'getFractionData(long, DateTimeField)' has a cyclomatic complexity of 21.","Design","CyclomaticComplexity"
"7","org.joda.time.format","data/temp/Time_20f/src/main/java/org/joda/time/format/DateTimeFormatterBuilder.java","3","2070","The class 'TimeZoneOffset' has a total cyclomatic complexity of 87 (highest 37).","Design","CyclomaticComplexity"
"8","org.joda.time.format","data/temp/Time_20f/src/main/java/org/joda/time/format/DateTimeFormatterBuilder.java","3","2109","The method 'printTo(StringBuffer, long, Chronology, int, DateTimeZone, Locale)' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"9","org.joda.time.format","data/temp/Time_20f/src/main/java/org/joda/time/format/DateTimeFormatterBuilder.java","3","2168","The method 'printTo(Writer, long, Chronology, int, DateTimeZone, Locale)' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"10","org.joda.time.format","data/temp/Time_20f/src/main/java/org/joda/time/format/DateTimeFormatterBuilder.java","3","2239","The method 'parseInto(DateTimeParserBucket, String, int)' has a cyclomatic complexity of 37.","Design","CyclomaticComplexity"
"11","org.joda.time.format","data/temp/Time_20f/src/main/java/org/joda/time/format/DateTimeFormatterBuilder.java","3","2771","The method 'parseInto(DateTimeParserBucket, String, int)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
